,pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate,rho,Merr,Rerr,srho
39,2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,1,Imaging,2015,Cerro Tololo Inter-American Observatory,Published Confirmed,0,<a refstr=ARTIGAU_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...806..254A/abstract target=ref>Artigau et al. 2015</a>,,,,,156.0,10.0,-10.0,0.0,16.14096,0.33627,-0.33627,0.0,1.44,0.03,-0.03,0.0,4417.837,349.613,-349.613,0.0,13.9,1.1,-1.1,0.0,Mass,,,,,,,,,,,,,0,<a refstr=ARTIGAU_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...806..254A/abstract target=ref>Artigau et al. 2015</a>,M6,3064.0,76.0,-76.0,0.0,0.281,0.013,-0.013,0.0,0.108,0.011,-0.011,0.0,,,,,,4.59,0.06,-0.06,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h19m22.25s,34.8427046,-39d25m23.08s,-39.4230767,,,,,,,10.404,0.025,-0.025,15.0123,0.000624,-0.000624,2015-05-14,2015-06,2015-05-14,5.788595507550966,349.613,0.33627,0.5837265691952264
121,55 Cnc e,55 Cnc,1,2,5,Radial Velocity,2004,McDonald Observatory,Published Confirmed,0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,0.7365474,1.3e-06,-1.4e-06,0.0,0.01544,5e-05,-5e-05,0.0,1.875,0.029,-0.029,0.0,0.1672763,0.00258721,-0.00258721,0.0,7.99,0.32,-0.33,0.0,0.02513923,0.00100683,-0.00103829,0.0,Mass,0.05,0.03,-0.03,0.0,,,,,,,,,0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,,5172.0,18.0,-18.0,0.0,0.943,0.01,-0.01,0.0,0.905,0.015,-0.015,0.0,0.35,0.1,-0.1,0.0,[Fe/H],4.43,0.02,-0.02,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,0.0124,-0.0123,5.95084,0.023,-0.023,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523,2021-02-05,2018-10,2021-02-11,6.678740385185185,0.325,0.029,0.41211044837032285
194,BD+20 594 b,BD+20 594,1,1,1,Transit,2016,K2,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,41.6855,0.003,-0.003,0.0,,,,,2.57807,0.11209,-0.11209,0.0,0.23,0.01,-0.01,0.0,22.2481,9.5349,-9.5349,0.0,0.07,0.03,-0.03,0.0,Mass,0.0,,,0.0,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5766.0,99.0,-99.0,0.0,1.08,0.06,-0.06,0.0,1.67,0.4,-0.4,0.0,-0.15,,,0.0,[Fe/H],4.5,0.08,-0.08,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,179.461,1.257,-1.24,10.849,0.012,-0.012,9.368,0.018,-0.018,10.8644,0.000249,-0.000249,2018-04-25,2017-03,2018-04-26,7.154189033323031,9.5349,0.11209,3.2049385658013723
201,BD+60 1417 b,BD+60 1417,1,1,1,Imaging,2021,Wide-field Infrared Survey Explorer (WISE) Sat,Published Confirmed,0,<a refstr=FAHERTY_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJ...923...48F/abstract target=ref>Faherty et al. 2021</a>,,,,,1662.0,,,0.0,14.68376472,0.67253884,-0.67253884,0.0,1.31,0.06,-0.06,0.0,4767.426105,1589.142035,-1589.142035,0.0,15.0,5.0,-5.0,0.0,Mass,,,,,,,,,1303.0,74.0,-74.0,0.0,0,<a refstr=FAHERTY_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJ...923...48F/abstract target=ref>Faherty et al. 2021</a>,K0,4993.0,124.0,-124.0,0.0,0.797,0.051,-0.051,0.0,1.0,,,0.0,,,,,,4.5539,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h43m33.01s,190.8875453,+60d00m51.71s,60.0143636,44.9543,0.0593,-0.0592,9.374,0.003,-0.003,7.288,0.024,-0.024,9.17439,0.000533,-0.000533,2022-01-10,2021-12,2022-01-10,8.297042557303936,1589.142035,0.67253884,2.9914391740209267
218,BD-14 3065 b,BD-14 3065 A,1,3,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=_SCARON_UBJAK_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240312311S/abstract target=ref>&Scaron;ubjak et al. 2024</a>,4.2889731,5.2e-06,-5.2e-06,0.0,0.0656,0.0026,-0.0026,0.0,21.59,1.05,-1.05,0.0,1.926,0.094,-0.094,0.0,3932.0,290.0,-280.0,0.0,12.37,0.92,-0.87,0.0,Mass,0.066,0.0098,-0.011,0.0,,,,,2001.0,31.0,-31.0,0.0,0,<a refstr=_SCARON_UBJAK_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240312311S/abstract target=ref>&Scaron;ubjak et al. 2024</a>,,6935.0,90.0,-90.0,0.0,2.35,0.08,-0.08,0.0,1.41,0.05,-0.05,0.0,-0.34,0.05,-0.05,0.0,[Fe/H],3.85,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h14m40.72s,153.6696689,-15d38m34.21s,-15.6428372,589.423,16.599,-15.729,11.1,0.013,-0.013,9.932,0.026,-0.026,10.91,0.001617,-0.001617,2024-06-25,2024-03,2024-06-25,2.152817331016463,285.0,1.05,0.3507225255580136
234,CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,1,Imaging,2021,Hubble Space Telescope,Published Confirmed,0,<a refstr=FONTANIVE_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...905L..14F/abstract target=ref>Fontanive et al. 2020</a>,8040000.0,470000.0,-470000.0,0.0,200.0,6.0,-6.0,0.0,20.8487041,0.56044903,-0.56044903,0.0,1.86,0.05,-0.05,0.0,2479.0615746,222.4798849,-254.2627256,0.0,7.8,0.7,-0.8,0.0,Mass,,,,,,,,,1800.0,40.0,-40.0,0.0,0,<a refstr=FONTANIVE_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...905L..14F/abstract target=ref>Fontanive et al. 2020</a>,M9-L1,2320.0,40.0,-40.0,0.0,0.245,0.007,-0.008,0.0,0.0147,0.0008,-0.0008,0.0,,,,,,3.845,0.007,-0.008,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h27m44.23s,246.934277,-23d58m52.14s,-23.98115,,,,,,,14.593,0.098,-0.098,,,,2021-05-17,2020-12,2021-05-17,1.5073069999664443,238.37130525,0.56044903,0.18916074727463505
238,COCONUTS-2 b,COCONUTS-2 A,1,1,1,Imaging,2021,NASA Infrared Telescope Facility (IRTF),Published Confirmed,0,<a refstr=ZHANG_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv241010939Z/abstract target=ref>Zhang et al. 2024</a>,,,,,,,,,12.44196858,0.33626942,-0.44835923,0.0,1.11,0.03,-0.04,0.0,2542.627256,635.656814,-635.656814,0.0,8.0,2.0,-2.0,0.0,Mass,,,,,,,,,,,,,0,<a refstr=ZHANG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJ...916L..11Z/abstract target=ref>Zhang et al. 2021</a>,M3 V,3406.0,69.0,-69.0,0.0,0.388,0.011,-0.011,0.0,0.37,0.02,-0.02,0.0,0.0,0.08,-0.08,0.0,[Fe/H],4.83,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h49m12.22s,117.300914,-76d42m09.71s,-76.702696,10.8864,0.0041,-0.0042,11.298,0.027,-0.027,6.579,0.018,-0.018,10.146,0.001567,-0.001567,2024-11-04,2024-10,2024-11-04,7.273894473048963,635.656814,0.39231432499999996,1.9442963092853773
239,CT Cha b,CT Cha,1,1,1,Imaging,2007,Paranal Observatory,Published Confirmed,0,<a refstr=SCHMIDT_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...491..311S/abstract target=ref> Schmidt et al. 2008 </a>,,,,,440.0,,,0.0,24.66,9.08,-6.73,0.0,2.2,0.81,-0.6,0.0,5403.0,1907.0,-1907.0,0.0,17.0,6.0,-6.0,0.0,Mass,,,,,,,,,2600.0,250.0,-250.0,0.0,0,<a refstr=SCHMIDT_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...491..311S/abstract target=ref> Schmidt et al. 2008 </a>,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h04m09.00s,166.0375038,-76d27m19.33s,-76.4553693,190.72,0.778,-0.771,12.335,0.069,-0.069,8.661,0.021,-0.021,11.7733,0.004701,-0.004701,2014-05-14,2008-11,2014-05-14,1.9852140931220914,1907.0,7.905,2.033659106924988
244,CoRoT-1 b,CoRoT-1,1,1,1,Transit,2008,CoRoT,Published Confirmed,0,<a refstr=BARGE_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...482L..17B/abstract target=ref> Barge et al. 2008 </a>,1.5089557,6.4e-06,-6.4e-06,0.0,,,,,16.7,0.9,-0.9,0.0,1.49,0.08,-0.08,0.0,327.35,38.14,-38.14,0.0,1.03,0.12,-0.12,0.0,Mass,0.0,,,0.0,,,,,1898.0,50.0,-50.0,0.0,0,<a refstr=BARGE_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...482L..17B/abstract target=ref> Barge et al. 2008 </a>,G0 V,5950.0,150.0,-150.0,0.0,1.11,0.05,-0.05,0.0,0.95,0.15,-0.15,0.0,-0.3,0.25,-0.25,0.0,[M/H],4.25,0.3,-0.3,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h48m19.17s,102.0798591,-03d06m07.70s,-3.1021394,787.909,23.491,-23.491,13.623,0.114,-0.114,12.149,0.027,-0.027,13.457,0.000477,-0.000477,2014-05-14,2008-05,2014-05-14,0.3872706020423565,38.14,0.9,0.07717695799027273
249,CoRoT-10 b,CoRoT-10,1,1,1,Transit,2010,CoRoT,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..65B/abstract target=ref> Bonomo et al. 2010 </a>,13.2406,0.0002,-0.0002,0.0,0.1055,0.0021,-0.0021,0.0,10.87,0.78,-0.78,0.0,0.97,0.07,-0.07,0.0,874.0,50.85,-50.85,0.0,2.75,0.16,-0.16,0.0,Mass,0.53,0.04,-0.04,0.0,,,,,600.0,23.0,-23.0,0.0,0,<a refstr=BONOMO_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..65B/abstract target=ref> Bonomo et al. 2010 </a>,K1 V,5075.0,75.0,-75.0,0.0,0.79,0.05,-0.05,0.0,0.89,0.05,-0.05,0.0,0.26,0.07,-0.07,0.0,[Fe/H],4.65,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h24m15.28s,291.0636813,+00d44m45.65s,0.7460143,338.386,3.9865,-3.9865,15.293,0.137,-0.137,11.782,0.021,-0.021,14.6645,0.000329,-0.000329,2014-05-14,2010-09,2014-05-14,3.7495089900433123,50.85,0.78,0.8361217899519046
257,CoRoT-11 b,CoRoT-11,1,1,1,Transit,2010,CoRoT,Published Confirmed,0,<a refstr=GANDOLFI_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...524A..55G/abstract target=ref> Gandolfi et al. 2010 </a>,2.99433,1.1e-05,-1.1e-05,0.0,0.0436,0.005,-0.005,0.0,16.03,0.34,-0.34,0.0,1.43,0.03,-0.03,0.0,740.51,108.06,-108.06,0.0,2.33,0.34,-0.34,0.0,Mass,0.0,,,0.0,,,,,1657.0,55.0,-55.0,0.0,0,<a refstr=GANDOLFI_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...524A..55G/abstract target=ref> Gandolfi et al. 2010 </a>,F6 V,6440.0,120.0,-120.0,0.0,1.37,0.03,-0.03,0.0,1.27,0.05,-0.05,0.0,-0.03,0.08,-0.08,0.0,[Fe/H],4.22,0.23,-0.23,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h42m44.95s,280.6872998,+05d56m15.57s,5.9376586,655.037,24.947,-23.209,12.897,0.114,-0.114,11.248,0.022,-0.022,12.841,0.000336,-0.000336,2014-05-14,2010-12,2014-05-14,0.9905626750279787,108.06,0.34,0.15769370643784114
262,CoRoT-12 b,CoRoT-12,1,1,1,Transit,2010,CoRoT,Published Confirmed,0,<a refstr=GILLON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..97G/abstract target=ref> Gillon et al. 2010 </a>,2.828042,1.3e-05,-1.3e-05,0.0,0.04016,0.00093,-0.00092,0.0,16.14,1.46,-1.46,0.0,1.44,0.13,-0.13,0.0,291.438,22.247,-20.658,0.0,0.917,0.07,-0.065,0.0,Mass,0.07,0.063,-0.042,0.0,,,,,1442.0,58.0,-58.0,0.0,0,<a refstr=GILLON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..97G/abstract target=ref> Gillon et al. 2010 </a>,,5675.0,80.0,-80.0,0.0,1.116,0.096,-0.092,0.0,1.078,0.077,-0.072,0.0,0.16,0.1,-0.1,0.0,[Fe/H],4.375,0.065,-0.062,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h43m03.76s,100.7656871,-01d17m47.20s,-1.2964437,1126.37,55.745,-55.745,15.588,0.183,-0.183,13.557,0.042,-0.042,15.3453,0.00077,-0.00077,2014-05-14,2010-09,2014-05-14,0.3819330012485416,21.4525,1.46,0.107392434497571
265,CoRoT-13 b,CoRoT-13,1,1,1,Transit,2010,CoRoT,Published Confirmed,0,<a refstr=CABRERA_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...522A.110C/abstract target=ref> Cabrera et al. 2010 </a>,4.03519,3e-05,-3e-05,0.0,0.051,0.0031,-0.0031,0.0,9.92,0.157,-0.157,0.0,0.885,0.014,-0.014,0.0,415.704,20.976,-20.976,0.0,1.308,0.066,-0.066,0.0,Mass,0.0,,,0.0,,,,,1700.0,,,0.0,0,<a refstr=CABRERA_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...522A.110C/abstract target=ref> Cabrera et al. 2010 </a>,G0 V,5945.0,90.0,-90.0,0.0,1.01,0.03,-0.03,0.0,1.09,0.02,-0.02,0.0,0.01,0.07,-0.07,0.0,[Fe/H],4.46,0.05,-0.05,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h50m53.07s,102.7211432,-05d05m11.24s,-5.0864557,1148.93,62.12,-56.15,15.005,0.297,-0.297,13.376,0.039,-0.039,14.9147,0.0005,-0.0005,2014-05-14,2010-11,2014-05-14,2.3463931699433136,20.976,0.157,0.1625704021948468
270,CoRoT-14 b,CoRoT-14,1,1,1,Transit,2010,CoRoT,Published Confirmed,0,<a refstr=TINGLEY_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...528A..97T/abstract target=ref> Tingley et al. 2011 </a>,1.51214,0.00013,-0.00013,0.0,0.027,0.002,-0.002,0.0,12.22,0.78,-0.78,0.0,1.09,0.07,-0.07,0.0,2415.4,190.7,-190.7,0.0,7.6,0.6,-0.6,0.0,Mass,0.0,,,0.0,,,,,1952.0,66.0,-66.0,0.0,0,<a refstr=TINGLEY_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...528A..97T/abstract target=ref> Tingley et al. 2011 </a>,F9 V,6035.0,100.0,-100.0,0.0,1.21,0.08,-0.08,0.0,1.13,0.09,-0.09,0.0,0.05,0.15,-0.15,0.0,[Fe/H],4.35,0.15,-0.15,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h53m41.81s,103.4242023,-05d32m09.74s,-5.5360385,1744.6,173.03,-144.9,15.932,0.206,-0.206,13.806,0.053,-0.053,15.8116,0.000769,-0.000769,2014-05-14,2011-04,2014-05-14,7.293349793603553,190.7,0.78,1.5106488989716513
272,CoRoT-16 b,CoRoT-16,1,1,1,Transit,2011,CoRoT,Published Confirmed,0,<a refstr=OLLIVIER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...541A.149O/abstract target=ref> Ollivier et al. 2012 </a>,5.35227,0.0002,-0.0002,0.0,0.0618,0.0015,-0.0015,0.0,13.11,1.79,-1.57,0.0,1.17,0.16,-0.14,0.0,170.032,27.014,-26.379,0.0,0.535,0.085,-0.083,0.0,Mass,0.33,0.09,-0.1,0.0,,,,,,,,,0,<a refstr=OLLIVIER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...541A.149O/abstract target=ref> Ollivier et al. 2012 </a>,G5 V,5650.0,100.0,-100.0,0.0,1.19,0.14,-0.13,0.0,1.098,0.082,-0.078,0.0,0.19,0.06,-0.06,0.0,[M/H],4.36,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h34m05.92s,278.5246658,-06d00m09.37s,-6.0026026,732.409,35.344,-32.282,16.052,0.217,-0.217,12.847,0.037,-0.037,15.6507,0.000998,-0.000998,2014-05-14,2012-05,2014-05-14,0.4157901406783368,26.6965,1.6800000000000002,0.17266325625033013
276,CoRoT-17 b,CoRoT-17,1,1,1,Transit,2011,CoRoT,Published Confirmed,0,<a refstr=CSIZMADIA_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...531A..41C/abstract target=ref> Csizmadia et al. 2011 </a>,3.7681,0.0003,-0.0003,0.0,0.0461,0.0008,-0.0008,0.0,11.43,0.78,-0.78,0.0,1.02,0.07,-0.07,0.0,772.29,95.34,-95.34,0.0,2.43,0.3,-0.3,0.0,Mass,0.0,,,0.0,,,,,1626.0,31.0,-31.0,0.0,0,<a refstr=CSIZMADIA_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...531A..41C/abstract target=ref> Csizmadia et al. 2011 </a>,G2 V,5740.0,80.0,-80.0,0.0,1.59,0.07,-0.07,0.0,1.04,0.1,-0.1,0.0,0.0,0.1,-0.1,0.0,[Fe/H],4.4,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h34m47.82s,278.699236,-06d36m44.24s,-6.612288,1176.12,57.17,-52.19,16.29,0.32,-0.32,12.472,0.054,-0.054,15.4368,0.000524,-0.000524,2014-05-14,2011-07,2014-05-14,2.8496617895345255,95.34,0.78,0.6812553952042429
280,CoRoT-18 b,CoRoT-18,1,1,1,Transit,2011,CoRoT,Published Confirmed,0,<a refstr=HEBRARD_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...533A.130H/abstract target=ref> Hebrard et al. 2011 </a>,1.9000693,2.8e-06,-2.8e-06,0.0,0.0295,0.0016,-0.0016,0.0,14.68,2.02,-2.02,0.0,1.31,0.18,-0.18,0.0,1102.82,120.77,-120.77,0.0,3.47,0.38,-0.38,0.0,Mass,0.08,,,1.0,,,,,1550.0,90.0,-90.0,0.0,0,<a refstr=HEBRARD_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...533A.130H/abstract target=ref> Hebrard et al. 2011 </a>,G9 V,5440.0,100.0,-100.0,0.0,1.0,0.13,-0.13,0.0,0.95,0.15,-0.15,0.0,-0.1,0.1,-0.1,0.0,[Fe/H],4.4,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h32m41.38s,98.1724172,-00d01m53.78s,-0.0316045,764.889,27.614,-25.784,14.868,0.172,-0.172,13.014,0.03,-0.03,14.8009,0.001211,-0.001211,2019-12-02,2011-09,2014-05-14,1.9207819490224154,120.77,2.02,0.8203374241413636
284,CoRoT-19 b,CoRoT-19,1,1,1,Transit,2011,CoRoT,Published Confirmed,0,<a refstr=GUENTHER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...537A.136G/abstract target=ref> Guenther et al. 2012 </a>,3.89713,2e-05,-2e-05,0.0,0.0518,0.0008,-0.0008,0.0,14.46,0.34,-0.34,0.0,1.29,0.03,-0.03,0.0,352.78,19.07,-19.07,0.0,1.11,0.06,-0.06,0.0,Mass,0.047,0.045,-0.045,0.0,,,,,2000.0,150.0,-150.0,0.0,0,<a refstr=GUENTHER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...537A.136G/abstract target=ref> Guenther et al. 2012 </a>,F9 V,6090.0,70.0,-70.0,0.0,1.65,0.04,-0.04,0.0,1.21,0.05,-0.05,0.0,-0.02,0.1,-0.1,0.0,[Fe/H],4.07,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h28m08.06s,97.0335983,-00d10m14.63s,-0.1707293,790.663,26.737,-25.071,14.135,0.149,-0.149,11.837,0.024,-0.024,13.7831,0.000558,-0.000558,2014-05-14,2012-01,2014-05-14,0.6429107326562667,19.07,0.34,0.05713555631603762
297,CoRoT-2 b,CoRoT-2,1,2,1,Transit,2008,CoRoT,Published Confirmed,0,<a refstr=GILLON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A&A...511A...3G/abstract target=ref> Gillon et al. 2010 </a>,1.7429935,1e-06,-1e-06,0.0,0.02798,0.00076,-0.0008,0.0,16.432,0.471,-0.493,0.0,1.466,0.042,-0.044,0.0,1102.82,69.92,-69.92,0.0,3.47,0.22,-0.22,0.0,Mass,0.0143,0.0077,-0.0076,0.0,,,,,,,,,1,<a refstr=GILLON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A&A...511A...3G/abstract target=ref> Gillon et al. 2010 </a>,,5625.0,120.0,-120.0,0.0,0.906,0.026,-0.027,0.0,0.96,0.08,-0.08,0.0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h27m06.49s,291.7770457,+01d23m01.19s,1.3836634,213.283,2.485,-2.43,12.516,0.092,-0.092,10.31,0.031,-0.031,12.2489,0.000911,-0.000911,2014-05-14,2010-02,2014-05-14,1.3695722684018699,69.92,0.482,0.14854353284202618
309,CoRoT-21 b,CoRoT-21,1,1,1,Transit,2012,CoRoT,Published Confirmed,0,<a refstr=P_AUML_TZOLD_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A&A...545A...6P/abstract target=ref>P&auml;tzold et al. 2012</a>,2.72474,0.00014,-0.00014,0.0,0.0417,0.0011,-0.0011,0.0,14.5717,1.56926,-1.56926,0.0,1.3,0.14,-0.14,0.0,718.2958,98.5273,-98.5273,0.0,2.26,0.31,-0.31,0.0,Mass,0.0,,,0.0,,,,,,,,,0,<a refstr=P_AUML_TZOLD_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A&A...545A...6P/abstract target=ref>P&auml;tzold et al. 2012</a>,F8 IV,6200.0,100.0,-100.0,0.0,1.95,0.21,-0.21,0.0,1.29,0.09,-0.09,0.0,0.0,0.1,-0.1,0.0,[Fe/H],3.7,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h44m12.63s,101.0526207,-00d17m56.96s,-0.2991544,,,,16.058,0.435,-0.435,13.813,0.054,-0.054,15.8558,0.001968,-0.001968,2018-12-03,2012-09,2018-12-06,1.279158206701849,98.5273,1.56926,0.4489714058564051
